coupling,bayes_auc_target,prevalence,n_nuisance,seed,outcome,exception_type,exception_message,solved_gamma,solved_alpha,realised_prevalence,expected_bayes_auc
0.5,0.85,0.1,0,1,ok,,,1.4145651042311234,-2.9523888690864863,0.1042,0.8500000000000212
0.5,0.85,0.1,20,1,ok,,,1.4145651042311234,-2.9523888690864863,0.0988,0.8500000000000212
0.5,0.85,0.1,0,2,ok,,,1.4147493288810256,-2.9488567065547455,0.1074,0.8500000000000246
0.5,0.85,0.1,20,2,ok,,,1.4147493288810256,-2.9488567065547455,0.1006,0.8500000000000246
0.5,0.85,0.1,0,3,ok,,,1.4127214513562976,-2.947346512546138,0.1066,0.8500000000000156
0.5,0.85,0.1,20,3,ok,,,1.4127214513562976,-2.947346512546138,0.0954,0.8500000000000156
0.5,0.85,0.1,0,4,ok,,,1.427368247949702,-2.9516025059365414,0.0942,0.8500000000000665
0.5,0.85,0.1,20,4,ok,,,1.427368247949702,-2.9516025059365414,0.0982,0.8500000000000665
0.5,0.85,0.1,0,5,ok,,,1.4292122329168473,-2.9564240994956035,0.1032,0.8500000000000708
0.5,0.85,0.1,20,5,ok,,,1.4292122329168473,-2.9564240994956035,0.0968,0.8500000000000708
0.5,0.85,0.1,0,6,ok,,,1.430548972670818,-2.962231183888069,0.0978,0.8500000000000797
0.5,0.85,0.1,20,6,ok,,,1.430548972670818,-2.962231183888069,0.1,0.8500000000000797
0.5,0.85,0.1,0,7,ok,,,1.4283168240921145,-2.9517940820471815,0.1002,0.850000000000061
0.5,0.85,0.1,20,7,ok,,,1.4283168240921145,-2.9517940820471815,0.1008,0.850000000000061
0.5,0.85,0.3,0,0,ok,,,1.7199085369080944,-1.1664520980687483,0.2974,0.8500000000000014
0.5,0.85,0.3,20,0,ok,,,1.7199085369080944,-1.1664520980687483,0.2934,0.8500000000000014
0.5,0.85,0.3,0,1,ok,,,1.7219113977220162,-1.1589458145667049,0.3052,0.85
0.5,0.85,0.3,20,1,ok,,,1.7219113977220162,-1.1589458145667049,0.3002,0.85
0.5,0.85,0.3,0,2,ok,,,1.7180902241724347,-1.1545545300249065,0.3082,0.8499999999999986
0.5,0.85,0.3,20,2,ok,,,1.7180902241724347,-1.1545545300249065,0.2888,0.8499999999999986
0.5,0.85,0.3,0,3,ok,,,1.7302001391477744,-1.1530920748238247,0.2986,0.8500000000000026
0.5,0.85,0.3,20,3,ok,,,1.7302001391477744,-1.1530920748238247,0.2998,0.8500000000000026
0.5,0.85,0.3,0,4,ok,,,1.7353446958506957,-1.1604170220199064,0.3046,0.8499999999999979
0.5,0.85,0.3,20,4,ok,,,1.7353446958506957,-1.1604170220199064,0.292,0.8499999999999979
0.5,0.85,0.3,0,5,ok,,,1.7238819962377028,-1.1649215149007517,0.293,0.8500000000000018
0.5,0.85,0.3,20,5,ok,,,1.7238819962377028,-1.1649215149007517,0.3052,0.8500000000000018
0.5,0.85,0.3,0,6,ok,,,1.7225537380326346,-1.1726038385523476,0.296,0.8500000000000023
0.5,0.85,0.3,20,6,ok,,,1.7225537380326346,-1.1726038385523476,0.2946,0.8500000000000023
