arm,dgp_seed,gen_seed,n,on_manifold_row_share,n_on_manifold,n_off_manifold,frac_density_zero_ruleclean,frac_density_zero_violating,density_zero_violating_exact,n_cigs_in_tol_band,mean_pstar,prev,R1_smoker_cigs__violation_rate,R2_glucose_floor__violation_rate,R3_glucose_ceil__violation_rate,R4_bp_mandatory__violation_rate,R5_anatomical__violation_rate,R6_preg_age__violation_rate,R7_smoker_cigs_min__violation_rate,excess_all,se_all,mass_all,excess_on_manifold,se_on_manifold,mass_on_manifold,excess_off_manifold,se_off_manifold,mass_off_manifold,excess_mass_on_manifold,excess_mass_off_manifold,on_manifold_excess_share
copula_dt,1,3.0,24000,0.64125,15390,8610,0.0,1.0,True,0,0.09674162136780538,0.10179166666666667,0.11366666666666667,0.033791666666666664,0.053375,0.09270833333333334,0.004916666666666666,0.00475,0.11045833333333334,0.035319458781280566,0.0011327423673403684,1.0,0.04035392460298183,0.0013082694672665568,0.64125,0.02632057039614899,0.002121592090692286,0.35875,0.025876954151662097,0.00944250462961845,0.7326543227037495
copula_dt,1,4.0,24000,0.6400833333333333,15362,8638,0.0,1.0,True,0,0.09978734106145778,0.10170833333333333,0.11708333333333333,0.030041666666666668,0.049958333333333334,0.09320833333333334,0.005125,0.0057083333333333335,0.11416666666666667,0.03593972244871796,0.0011340538422918533,1.0,0.03830650982895774,0.001317016714064666,0.6400833333333333,0.03173057823301492,0.002107626612214649,0.35991666666666666,0.024519358499685368,0.011420363949032621,0.6822356108807401
real,2,,16000,1.0,16000,0,0.0,,True,0,0.10068516910054229,0.10025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005819557667218478,0.0013734385907633495,1.0,0.0005819557667218478,0.0013734385907633495,1.0,,,0.0,0.0005819557667218478,,
copula_dt,2,0.0,24000,0.6426666666666667,15424,8576,0.0,1.0,True,0,0.09796610411951341,0.10066666666666667,0.11633333333333333,0.030625,0.051708333333333335,0.09116666666666666,0.004458333333333333,0.004791666666666666,0.110875,0.03493819416755947,0.0011328438962277553,1.0,0.03987609588145048,0.0013170715169940938,0.6426666666666667,0.02605734108511365,0.0021070328069135516,0.35733333333333334,0.02562703761981218,0.009311156547747277,0.7334963420521372
copula_dt,2,1.0,24000,0.6389166666666667,15334,8666,0.0,1.0,True,0,0.09897905825569578,0.09704166666666666,0.11545833333333333,0.03129166666666667,0.049958333333333334,0.09108333333333334,0.004416666666666667,0.004666666666666667,0.11695833333333333,0.03144400447071383,0.001135787971185617,1.0,0.03554408867891033,0.001322933331301853,0.6389166666666667,0.02418913587522739,0.002101087480564701,0.3610833333333333,0.022709710658433795,0.008734293812280023,0.7222270522059322
copula_dt,2,2.0,24000,0.6455,15492,8508,0.0,1.0,True,0,0.09777326534069501,0.102375,0.11341666666666667,0.03129166666666667,0.05329166666666667,0.090875,0.0034583333333333332,0.004125,0.11075,0.03499555941337548,0.0011320211651386293,1.0,0.04002381554798705,0.001309933458901888,0.6455,0.025839736183779466,0.002123158753841345,0.3545,0.025835372936225637,0.00916018647714982,0.7382471767646968
copula_dt,2,3.0,24000,0.6462916666666667,15511,8489,0.0,1.0,True,0,0.09782831203327906,0.10029166666666667,0.11466666666666667,0.030666666666666665,0.050583333333333334,0.0915,0.004291666666666667,0.00425,0.110625,0.03431908768338848,0.001134052653959504,1.0,0.03592766637014934,0.0013128331968975601,0.6462916666666667,0.03137991180750821,0.0021272946444675397,0.35370833333333335,0.023219751377807768,0.011099336305580717,0.6765841677384349
copula_dt,2,4.0,24000,0.6384166666666666,15322,8678,0.0,1.0,True,0,0.0992259699449149,0.09741666666666667,0.1205,0.03204166666666667,0.04958333333333333,0.09116666666666666,0.004625,0.005083333333333333,0.11366666666666667,0.03202634072577695,0.0011341166072154417,1.0,0.03636352760111951,0.0013201260248263994,0.6384166666666666,0.02436854200441277,0.0020988164425570456,0.3615833333333333,0.023215082079348043,0.008811258646428916,0.7248746361042421
real,3,,16000,1.0,16000,0,0.0,,True,0,0.10125535046442596,0.100625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00020402396589139227,0.001371936983409318,1.0,-0.00020402396589139227,0.001371936983409318,1.0,,,0.0,-0.00020402396589139227,,
copula_dt,3,0.0,24000,0.6397083333333333,15353,8647,0.0,1.0,True,0,0.09854329173333373,0.101375,0.11670833333333333,0.030708333333333334,0.052875,0.09229166666666666,0.005083333333333333,0.005208333333333333,0.111875,0.03607517362391846,0.0011333537990435743,1.0,0.04212166771715346,0.0013172374087361122,0.6397083333333333,0.025339447497696843,0.0021036159697723376,0.3602916666666667,0.026945581852560713,0.009129591771357692,0.7469286810222133
