seed,config,model_AUC,gap_to_bayes,taskB_threshold,taskB_rank_pos,taskB_rank_pooled,ORACLE_threshold,ORACLE_rank_pos,ORACLE_rank_pooled
1,rand12,0.8462261017670853,0.0037738982333656024,0.8864462213813429,0.8874025848765432,0.5542820666309973,0.956293932012921,0.998292824074074,0.5870665996943868
1,rand13,0.8486017214635482,0.001398278536902775,0.9403547661345789,0.9902353395061728,0.576840837936875,0.956293932012921,0.998292824074074,0.5870665996943868
1,rand14,0.8475179902065147,0.002482009793936202,0.9319102682040854,0.987632137345679,0.5706356667843338,0.956293932012921,0.998292824074074,0.5870665996943868
1,rand15,0.8443563855348399,0.005643614465611013,0.9237870357266116,0.9775945216049384,0.5667120190360518,0.956293932012921,0.998292824074074,0.5870665996943868
1,rand16,0.8433724626661396,0.0066275373343113175,0.8834212206364694,0.7795466820987655,0.5367424599599033,0.956293932012921,0.998292824074074,0.5870665996943868
1,rand17,0.846904175917759,0.0030958240826919337,0.9145294231203741,0.9433912037037037,0.5597973398263698,0.956293932012921,0.998292824074074,0.5870665996943868
1,rand18,0.8487306548252684,0.0012693451751825124,0.9370227378815303,0.9922376543209876,0.5758676144881654,0.956293932012921,0.998292824074074,0.5870665996943868
1,rand19,0.8454185346269656,0.0045814653734853605,0.9285050328613318,0.9819039351851852,0.5667674011946172,0.956293932012921,0.998292824074074,0.5870665996943868
1,rand20,0.848466826849965,0.0015331731504859558,0.9385220671850987,0.9921855709876544,0.5744030020019446,0.956293932012921,0.998292824074074,0.5870665996943868
1,rand21,0.8457878159311414,0.004212184069309566,0.9172214033787457,0.9776504629629629,0.5742954642975304,0.956293932012921,0.998292824074074,0.5870665996943868
1,rand22,0.8477711122601053,0.0022288877403456864,0.908970417352571,0.9242997685185185,0.5568684808577589,0.956293932012921,0.998292824074074,0.5870665996943868
1,rand23,0.8513894218193984,-0.0013894218189474117,0.926100449593175,0.9815248842592592,0.5785428231705467,0.956293932012921,0.998292824074074,0.5870665996943868
2,PAPER DEFAULT (300/63/.05),0.8310343501931324,0.01896564980731852,0.9043083717171903,0.9805246913580247,0.5744506788167096,0.953698727662594,0.997644675925926,0.5868699978473195
2,"crippled (5 trees, 2 leaves)",0.7892262416740168,0.06077375832643417,0.8572807084310708,0.6925559413580247,0.5094847292125476,0.953698727662594,0.997644675925926,0.5868699978473195
2,"crippled (20 trees, 4 leaves)",0.8300283341950789,0.01997166580537202,0.869535057512357,0.7968306327160494,0.5242155069080815,0.953698727662594,0.997644675925926,0.5868699978473195
2,"overfit (2000/255/.2, no ES)",0.7842064782992183,0.06579352170123265,0.8866218131019462,0.9209124228395063,0.5570968383529635,0.953698727662594,0.997644675925926,0.5868699978473195
2,rand00,0.8446559080263999,0.005344091974051057,0.9206467093675063,0.979837962962963,0.5654473698531314,0.953698727662594,0.997644675925926,0.5868699978473195
2,rand01,0.8352403905228261,0.014759609477624891,0.8726371727953981,0.8287152777777778,0.5283121299930026,0.953698727662594,0.997644675925926,0.5868699978473195
2,rand02,0.8446302624775692,0.0053697375228817235,0.9346074006075298,0.9924729938271605,0.5725030664860405,0.953698727662594,0.997644675925926,0.5868699978473195
2,rand03,0.8461302594361142,0.0038697405643367544,0.8987183597465012,0.9438792438271605,0.5519627677787564,0.953698727662594,0.997644675925926,0.5868699978473195
2,rand04,0.8415064205115727,0.0084935794888783,0.9046318186605898,0.9590432098765433,0.5558563068961382,0.953698727662594,0.997644675925926,0.5868699978473195
2,rand05,0.8484218376471304,0.0015781623533205336,0.8939948196208589,0.9455324074074074,0.553795435643283,0.953698727662594,0.997644675925926,0.5868699978473195
2,rand06,0.8481683992822167,0.0018316007182342942,0.9043056423693201,0.9544772376543209,0.5499862989355548,0.953698727662594,0.997644675925926,0.5868699978473195
2,rand07,0.8389965874874541,0.011003412512996857,0.8817153297859498,0.8389081790123457,0.5312131148804156,0.953698727662594,0.997644675925926,0.5868699978473195
2,rand08,0.8450164542717236,0.00498354572872739,0.9062265266472768,0.9710831404320989,0.5654772184286782,0.953698727662594,0.997644675925926,0.5868699978473195
2,rand09,0.8469336415341098,0.003066358466341179,0.9317031053828122,0.9915219907407407,0.5709561994547505,0.953698727662594,0.997644675925926,0.5868699978473195
2,rand10,0.8433034581343714,0.006696541866079597,0.920684843354653,0.9852912808641975,0.5640377060998872,0.953698727662594,0.997644675925926,0.5868699978473195
2,rand11,0.8376221174609934,0.012377882539457596,0.9201911773637882,0.9758854166666666,0.5653734370793665,0.953698727662594,0.997644675925926,0.5868699978473195
2,rand12,0.8463746464308526,0.0036253535695983663,0.8838254232219068,0.9215142746913579,0.5498913594682542,0.953698727662594,0.997644675925926,0.5868699978473195
2,rand13,0.8474585236777273,0.0025414763227236126,0.9280597335080116,0.9885378086419754,0.56914530881814,0.953698727662594,0.997644675925926,0.5868699978473195
2,rand14,0.8460856838711639,0.003914316129287054,0.9232054537752263,0.9890316358024691,0.5664755709298568,0.953698727662594,0.997644675925926,0.5868699978473195
2,rand15,0.8427892332491864,0.00721076675126453,0.913464372784327,0.978070987654321,0.5609047807324026,0.953698727662594,0.997644675925926,0.5868699978473195
2,rand16,0.8433783265914414,0.006621673409009543,0.8787697483695031,0.8405931712962963,0.5327574391482514,0.953698727662594,0.997644675925926,0.5868699978473195
2,rand17,0.847047489278871,0.0029525107215799817,0.8991778896682266,0.9444502314814814,0.551162673773562,0.953698727662594,0.997644675925926,0.5868699978473195
2,rand18,0.8488480063262265,0.0011519936742244719,0.9281875900012071,0.9939969135802469,0.570565239941998,0.953698727662594,0.997644675925926,0.5868699978473195
2,rand19,0.8433034581343714,0.006696541866079597,0.920684843354653,0.9852912808641975,0.5640377060998872,0.953698727662594,0.997644675925926,0.5868699978473195
2,rand20,0.848067009337267,0.0019329906631839755,0.9286410077213635,0.9893518518518519,0.567920284365713,0.953698727662594,0.997644675925926,0.5868699978473195
2,rand21,0.8470804343197785,0.00291956568067242,0.9183060821403006,0.9825472608024692,0.5676881801470854,0.953698727662594,0.997644675925926,0.5868699978473195
2,rand22,0.8487071747924207,0.0012928252080302016,0.8973000983334063,0.947458526234568,0.5536798362229175,0.953698727662594,0.997644675925926,0.5868699978473195
2,rand23,0.8521374980990907,-0.002137498098639723,0.9250294269830249,0.9911496913580248,0.5729199833757208,0.953698727662594,0.997644675925926,0.5868699978473195
