gen,seed,arm,rate,delivered,inj_prev,train_prev,mean_pstar,LogReg,MLP,LGBM
copula,0,balance,0.2,3360,0.1005952380952381,0.1006944444444444,0.100347190365572,0.8156193803438133,0.7476856182718323,0.6468116974856837
copula,0,clean,0.02,336,0.1130952380952381,0.1009570494864612,0.0860793742892322,0.8199527263556392,0.7695209380165628,0.6823474991501983
copula,0,clean,0.05,840,0.0976190476190476,0.1005668934240362,0.1060116662692445,0.822720321362095,0.7731136630289672,0.6715147980281859
copula,0,clean,0.1,1680,0.0863095238095238,0.0994047619047619,0.1017383066674868,0.8241462662867232,0.7738985730870552,0.6746753192238844
copula,0,clean,0.2,3360,0.0988095238095238,0.1003968253968254,0.0971722520225071,0.8207786273510036,0.7962892622076752,0.6907222860144577
copula,0,creative,0.02,336,0.1011904761904761,0.1007236227824463,0.1967606519370792,0.8287907921933381,0.7793810359904713,0.6617240676853321
copula,0,creative,0.05,840,0.1011904761904761,0.1007369614512471,0.2266392601613901,0.83206925335329,0.7731560246140942,0.6874770844812509
copula,0,creative,0.1,1680,0.1005952380952381,0.1007034632034632,0.2281002678322513,0.8309311016445032,0.7904731322181743,0.692011380317771
copula,0,creative,0.2,3360,0.1005952380952381,0.1006944444444444,0.2247117644203837,0.834610477300701,0.7511977748902796,0.7082919140686037
copula,0,harmful_orig,0.02,336,0.8571428571428571,0.1155462184873949,0.2191811530252463,0.8273252698120294,0.76236521391701,0.6692940700976723
copula,0,harmful_orig,0.05,840,0.8357142857142857,0.1357142857142857,0.2298835486268327,0.825369740824198,0.7411675880846842,0.6664384323832002
copula,0,harmful_orig,0.1,1680,0.8613095238095239,0.1698593073593073,0.2168088602852091,0.8051201749769047,0.7021031391947719,0.6670237418480719
copula,0,harmful_orig,0.2,3360,0.8613095238095239,0.2274801587301587,0.2194176386788107,0.7311929125170302,0.7072103015836466,0.6931054357152452
copula,0,harmful_rank,0.02,336,0.1011904761904761,0.1007236227824463,0.2151418612997888,0.8118805528371039,0.769416426117969,0.6740727481626466
copula,0,harmful_rank,0.05,840,0.1011904761904761,0.1007369614512471,0.235656273788727,0.7968632209950355,0.7681833142127958,0.6564589167153246
copula,0,harmful_rank,0.1,1680,0.1005952380952381,0.1007034632034632,0.2285043880968451,0.773048471590582,0.7510807558300506,0.6492249157736896
copula,0,harmful_rank,0.2,3360,0.1005952380952381,0.1006944444444444,0.2205044540217464,0.6696426858118758,0.7196119233341831,0.6479180672974387
copula,0,random,0.02,336,0.1011904761904761,0.1007236227824463,0.2206561051725085,0.8228083426537388,0.7838633114577938,0.6673697447648105
copula,0,random,0.05,840,0.1011904761904761,0.1007369614512471,0.218493363841732,0.8205295121041911,0.781926971539868,0.6646725667916697
copula,0,random,0.1,1680,0.1005952380952381,0.1007034632034632,0.2204271531766319,0.821855528233975,0.7827974614231161,0.6726040133254384
copula,0,random,0.2,3360,0.1005952380952381,0.1006944444444444,0.2225659501631793,0.817159945694932,0.7821445190533756,0.6824411315314796
copula,1,BASE,0.0,0,,0.1010119047619047,,0.8249805625001714,0.7326799369364925,0.6526527561329638
